"VALOR LIGACAO","NUM EMPREGADO","DIVISAO","DEPARTAMENTO","TELEFONE","UF","DATA_LIGACAO","MINUTO","SEGUNDO","Dia da Semana","Semestres","VENCIMENTO","Semana do Mes","MEDIA"
102.96,5922493,"Vendas",1559582,7388133888,"BA",2012-07-13 12:09:47,25,50,"Fri","3-Trimestre","7-Julho","3 semana",97.9727272727273
89.33,7333681,"Financeiro",1744466,7388532757,"BA",2012-10-29 19:49:06,51,20,"Mon","4-Trimestre","10-Outubro","5 semana",97.9727272727273
195.2,3633693,"Financeiro",1744466,8187670280,"PE",2012-08-10 23:56:49,34,6,"Fri","3-Trimestre","8-Agosto","2 semana",107.485714285714
93.53,5526455,"Engenharia",9008985,8588056380,"RN",2012-10-29 21:08:04,37,32,"Mon","4-Trimestre","10-Outubro","5 semana",95.5607142857143
82.8,9030029,"Vendas",1559582,8888210309,"CE",2012-10-29 22:33:54,11,44,"Mon","4-Trimestre","10-Outubro","5 semana",110.283529411765
203.23,9022955,"Vendas",1559582,7588553535,"BA",2012-10-29 22:04:48,30,50,"Mon","4-Trimestre","10-Outubro","5 semana",97.9727272727273
84.36,2130099,"Vendas",1559582,8587725381,"CE",2012-10-29 21:21:24,54,19,"Mon","4-Trimestre","10-Outubro","5 semana",110.283529411765
104.59,2821045,"Vendas",1559582,7388352636,"BA",2012-10-30 04:18:21,48,44,"Tue","4-Trimestre","10-Outubro","5 semana",97.9727272727273
115.06,1425327,"Vendas",2610953,8188668575,"PE",2012-10-30 04:31:01,48,35,"Tue","4-Trimestre","10-Outubro","5 semana",107.485714285714
253.61,4920673,"Vendas",2610953,3186970729,"MG",2012-08-29 01:12:40,35,59,"Wed","3-Trimestre","8-Agosto","5 semana",102.688081081081
83.28,1230893,"Vendas",2610953,5785012018,"SC",2012-07-13 16:04:32,35,56,"Fri","3-Trimestre","7-Julho","3 semana",121.998333333333
85.62,5133083,"Vendas",1559582,8188159565,"PE",2012-07-13 16:04:14,35,11,"Fri","3-Trimestre","7-Julho","3 semana",107.485714285714
87.1,6831787,"Financeiro",1744466,9188261566,"PA",2012-07-13 16:11:35,22,35,"Fri","3-Trimestre","7-Julho","3 semana",99.749
58.85,3523489,"Vendas",1559582,7188305052,"BA",2012-08-11 06:55:51,20,50,"Sat","3-Trimestre","8-Agosto","2 semana",97.9727272727273
81.98,7029737,"Engenharia",9008985,2187505336,"RJ",2012-10-30 04:51:36,19,58,"Tue","4-Trimestre","10-Outubro","5 semana",107.724426229508
96.73,6329493,"Engenharia",9008985,7186371297,"BA",2012-10-30 04:09:22,17,43,"Tue","4-Trimestre","10-Outubro","5 semana",97.9727272727273
85.54,1230519,"Vendas",2610953,6185155991,"DF",2012-10-30 05:06:15,6,47,"Tue","4-Trimestre","10-Outubro","5 semana",66.6766666666667
162.9,6021185,"Vendas",1559582,7988019623,"SE",2012-10-30 04:56:44,2,57,"Tue","4-Trimestre","10-Outubro","5 semana",115.725
160.92,3321049,"Vendas",2610953,3588566205,"MG",2012-10-30 07:10:19,1,58,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
104.14,4721233,"Vendas",1559582,3388500360,"MG",2012-10-30 06:52:41,54,39,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
149.89,3527815,"Vendas",2748775,11967056555,"SP",2012-10-30 07:12:48,51,29,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
81.94,7225563,"Vendas",1559582,5185739607,"RS",2012-10-30 07:12:48,51,29,"Tue","4-Trimestre","10-Outubro","5 semana",99.78
111.52,2432589,"Vendas",1559582,9899769259,"MA",2012-10-30 07:12:49,48,6,"Tue","4-Trimestre","10-Outubro","5 semana",104.413230769231
100.53,5928031,"Vendas",2610953,8588669236,"CE",2012-10-30 07:12:49,48,6,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
115.53,3730363,"Vendas",2610953,8585958991,"CE",2012-10-30 07:30:02,42,0,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
